,Acc,AbsSpd,S,DeltaV,Type-Car,Type-TW,SLType-Car,SLType-TW,Category-Left,Category-NoLead,Category-Right,ColTime
3989,-4.8,14.4428400213902,9.65478037444691,-2.89676392265483,0,1,1,0,0,1,0,-3.332953817513194
3990,-2.54548562805274,14.0915382596317,8.04605263157892,-3.20338036489491,0,0,0,1,0,1,0,-2.5117381375479835
3991,-1.70932153854852,14.6207804778317,6.91145893928319,-0.910462707230494,0,0,0,1,0,1,0,-7.591149955286939
3992,-3.31708374210743,13.6349077950896,9.24276770227181,-3.31915523987686,0,1,0,0,0,1,0,-2.784674724227335
3994,-1.90387858029626,13.0431849284721,9.33930634817585,-2.21879554850789,0,1,0,1,0,1,0,-4.209178423156837
3995,-1.77398989972841,12.7570734712126,6.91850180658797,-1.49562123612272,0,1,0,1,0,1,0,-4.625838173121719
3996,-1.83375456558124,11.8931112731331,5.25950128562723,-2.76276501978199,0,1,1,0,0,1,0,-1.9037092362065078
3997,-0.697028718525729,12.2158817579514,9.71767745798502,-0.76269116486219,0,1,0,1,0,1,0,-12.741300680650863
3998,-1.23339990097701,13.7228713092014,15.8732054664255,-0.848640887384988,0,1,0,0,0,1,0,-18.704266672016455
3999,-1.35778481495595,12.1776191928011,6.70310205326096,-2.00921597892939,0,1,1,0,0,1,0,-3.336177953767173
4000,-0.396987878460209,11.5446477853839,18.9900719410718,-2.6714665204666,0,1,0,1,0,1,0,-7.108482099844912
4001,-0.962456465737233,11.9985618395204,4.52758069141504,-0.755410128231233,0,1,0,1,0,1,0,-5.993539829835504
4002,-2.79592877205758,15.2944383767793,27.7892932505222,-2.91216342478442,0,1,0,1,0,1,0,-9.542490992784641
4003,-2.75385260553588,13.4788524701253,14.8786615374477,-2.43608476785352,0,1,0,1,0,1,0,-6.107612400761229
4004,-0.918590198419423,13.4708030461156,6.13620857337568,-0.104028328614362,0,1,0,1,0,1,0,-58.985938302660806
4005,-0.385972083857141,13.9790084619115,23.5179970387018,-0.911424158113547,0,1,0,1,0,1,0,-25.803569972710644
4006,-2.418426151064,14.7438448316568,21.355780751691,-3.19919704627286,0,1,0,1,0,1,0,-6.675356485644105
4007,-1.49505660949455,12.3254186805928,20.1780219780219,-1.17775877366907,0,1,0,1,0,1,0,-17.132559255034323
4008,-2.01567043732103,12.7849012065518,29.45,-2.34987006504684,0,1,0,1,0,1,0,-12.532607839920278
4009,-0.370582381739808,11.6756758062545,29.4461821611735,-0.548557897664836,0,1,0,1,0,1,0,-53.67926026864872
4010,-3.90484308360979,14.657820916833,6.77142857142854,-1.87291971028125,0,1,0,1,0,1,0,-3.6154398580234375
4011,-1.87924485066435,12.6597558133292,6.36638671760625,-1.41660410204003,0,1,0,1,0,1,0,-4.494118510907962
4012,-0.254821835160726,14.944551317023,24.0656485407828,-2.9697734267846,0,1,1,0,0,1,0,-8.10353016285114
4013,-1.09574570833198,15.203118419372,14.1662229671244,-3.7699931394892,0,1,1,0,0,1,0,-3.7576256621633517
4014,-2.4610866050358,14.9075927946616,20.2382562055088,-2.7283931226438,0,1,0,1,0,1,0,-7.417646686448919
4016,-0.551289011357994,16.6641654831548,25.2329183139421,-3.25948100427323,0,1,0,1,0,1,0,-7.741391430372307
4017,-2.62696587811928,17.5785527048504,18.3484256306993,-2.5752333160092,0,1,0,1,0,1,0,-7.124956607478803
4018,-1.22056667715006,18.7801721373015,15.0606142039393,-3.91955793336223,0,1,0,1,0,1,0,-3.8424267379102566
4019,-0.272126982719513,15.2461786605452,3.05978240755876,-1.69937696486235,0,1,0,1,0,1,0,-1.8005318836404276
